orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Tense,VerbForm,Voice,Mood,Person
γῆς,γῆς,γῆ,γῆς,ῆς,γ,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,obj,0.0,διακοσμηθέντων,"(οὐρανοῦ,)",False,xx͂x,False,False,False,False,Gen,Fem,Sing,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,fixed,0.0,γῆς,(),False,xx̀,False,False,False,False,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,οὐρανοῦ,(),False,xxx̀,False,False,False,False,,,,,,,,
οὐρανοῦ,οὐρανοῦ,οὐρανοῦ,οὐρανοῦ,οῦ,ο,-20.0,NOUN,n-s---mg-,Case=Gen|Gender=Masc|Number=Sing,conj,0.0,γῆς,"(γῆς,)",False,xx̓xxxx͂,False,False,False,False,Gen,Masc,Sing,,,,,
διακοσμηθέντων,διακοσμηθέντων,διακοσμηθέντων,διακοσμηθέντων,των,δ,-20.0,VERB,v-pappmg-,Case=Gen|Gender=Masc|Number=Plur|Tense=Past|VerbForm=Part|Voice=Pass,advcl,0.0,ἐνεχείρει,(),False,xxxx́xxxx,False,False,False,False,Gen,Masc,Plur,Past,Part,Pass,,
τοῖς,τοῖς,τοῖς,τοῖς,ῖς,τ,-20.0,DET,l-p---md-,Case=Dat|Gender=Masc|Number=Plur,det,0.0,κόσμοις,(),False,xxx͂x,False,False,False,False,Dat,Masc,Plur,,,,,
προσήκουσι,προσήκουσι,προσήκω,προσήκουσι,υσι,π,-20.0,VERB,v-pppamd-,Case=Dat|Gender=Masc|Number=Plur|Tense=Pres|VerbForm=Part|Voice=Act,nmod,0.0,κόσμοις,(),False,xxxx́xxxx,False,False,False,False,Dat,Masc,Plur,Pres,Part,Act,,
κόσμοις,κόσμοις,κόσμος,κόσμοις,οις,κ,-20.0,NOUN,n-p---md-,Case=Dat|Gender=Masc|Number=Plur,obl,0.0,διακοσμηθέντων,(),False,xx́xxxx,False,False,False,False,Dat,Masc,Plur,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,τριάδι,(),False,",",False,True,False,False,,,,,,,,
τῆς,τῆς,τῆς,τῆς,ῆς,τ,-20.0,DET,l-s---fg-,Case=Gen|Gender=Fem|Number=Sing,det,0.0,τριάδι,(),False,xx͂x,False,False,False,False,Gen,Fem,Sing,,,,,
μὲν,μὲν,μὲν,μὲν,ὲν,μ,-20.0,ADV,d--------,,advmod,0.0,τριάδι,(),False,xx̀x,False,False,False,False,,,,,,,,
τριάδι,τριάδι,τριάς,τριάδι,́δι,τ,-20.0,NOUN,n-s---fd-,Case=Dat|Gender=Fem|Number=Sing,obl,0.0,διακοσμηθέντων,(),False,xxxx́xx,False,False,False,False,Dat,Fem,Sing,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,τοῦ,(),False,",",False,True,False,False,,,,,,,,
τοῦ,τοῦ,τοῦ,τοῦ,οῦ,τ,-20.0,DET,l-s---ng-,Case=Gen|Gender=Neut|Number=Sing,det,0.0,τριάδι,(),False,xxx͂,False,False,False,False,Gen,Neut,Sing,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,CCONJ,C-,,cc,0.0,τριάδι,(),False,xx̀,False,False,False,False,,,,,,,,
’,’,ά,',’,’,-20.0,CCONJ,c--------,,case,0.0,τετράδι,(),False,’,False,True,False,False,,,,,,,,
ὡς,ὡς,ὡς,ὡς,ὡς,ω,-20.0,ADV,d--------,,advmod,0.0,ἐλέχθη,(),False,x̔x,False,False,False,False,,,,,,,,
ἐλέχθη,ἐλέχθη,ἐλέχθη,ἐλέχθη,χθη,ε,-20.0,VERB,v3saip---,Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Pass,advcl,0.0,ἐνεχείρει,(),False,x̓xx́xxx,False,False,False,False,,,Sing,Past,Fin,Pass,Ind,3
τετράδι,τετράδι,τετράς,τετράδι,́δι,τ,-20.0,NOUN,n-s---fd-,Case=Dat|Gender=Fem|Number=Sing,obl,0.0,ἐλέχθη,(),False,xxxx́xx,False,False,False,False,Dat,Fem,Sing,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἐλέχθη,(),False,",",False,True,False,False,,,,,,,,
