orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Aspect,Mood,Person,Tense,VerbForm,Voice,Degree,PronType
ἡνίοχον,ἡνίοχον,ἡνίοχος,ἡνίοχον,χον,η,-20.0,NOUN,n-s---ma-,Case=Acc|Gender=Masc|Number=Sing,obj,0.0,ἐπὶ᾽,(),False,x̔xx́xxxx,False,False,False,False,Acc,Masc,Sing,,,,,,,,
δή,δή,δή,δή,δή,δ,-20.0,ADV,d--------,,advmod,0.0,ἡνίοχον,(),False,xx́,False,False,False,False,,,,,,,,,,,
τινα,τινα,τὶς,τινα,ινα,τ,-20.0,ADJ,a-s---ma-,Case=Acc|Gender=Masc|Number=Sing,det,0.0,ἡνίοχον,"(κυβερνήτην,)",True,xxxx,True,False,False,False,Acc,Masc,Sing,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,τινα,(),False,xxx̀,False,False,False,False,,,,,,,,,,,
κυβερνήτην,κυβερνήτην,κυβερνήτης,κυβερνήτην,την,κ,-20.0,NOUN,n-s---ma-,Case=Acc|Gender=Masc|Number=Sing,conj,0.0,τινα,"(τινα,)",False,xxxx́xxx,False,False,False,False,Acc,Masc,Sing,,,,,,,,
ἐπὶ᾽,ἐπὶ᾽,ἐπὶ᾽,ἐπὶ᾽,ὶ᾽,ε,-20.0,PUNCT,V-,,dislocated,0.0,ἐδημιούργει,(),False,x̓xx̀᾽,False,False,False,False,,,,,,,,,,,
ἅπασι,ἅπασι,ἅπας,ἅπασι,ασι,α,-20.0,ADJ,Px,Case=Dat|Gender=Neut|Number=Plur,nmod,0.0,ἡνιοχῇ,(),False,x̔́xxxx,False,False,False,False,Dat,Neut,Plur,,,,,,,,
ὁ,ὁ,ὁ,ὁ,ὁ,ο,-20.0,DET,l-s---mn-,Case=Nom|Gender=Masc|Number=Sing,det,0.0,ποιητὴς,(),False,x̔,False,False,False,False,Nom,Masc,Sing,,,,,,,,
ποιητὴς,ποιητὴς,ποιητὴς,ποιητὴς,ὴς,π,-20.0,NOUN,n-s---mn-,Case=Nom|Gender=Masc|Number=Sing,nsubj,0.0,ἐδημιούργει,(),False,xxxx̀x,False,False,False,False,Nom,Masc,Sing,,,,,,,,
ἐδημιούργει,ἐδημιούργει,ἐδημιούργω,ἐδημιούργει,γει,ε,-20.0,VERB,V-,Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act,ROOT,0.0,ἐδημιούργει,(),False,x̓xxxx́xxxx,False,False,False,False,,,Sing,Imp,Ind,3,Past,Fin,Act,,
