orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Tense,VerbForm,Voice,Case,Gender,Number,Mood,Person,Aspect
πρὶν,πρὶν,πρὶν,πρὶν,ὶν,π,-20.0,SCONJ,c--------,,mark,0.0,χλοῆσαι,(),False,xxx̀x,False,False,False,False,,,,,,,,,
γὰρ,γὰρ,γὰρ,γὰρ,ὰρ,γ,-20.0,ADV,d--------,,advmod,0.0,φησί,(),False,xx̀x,False,False,False,False,,,,,,,,,
χλοῆσαι,χλοῆσαι,χλοῆω,χλοῆσαι,σαι,χ,-20.0,VERB,v--ana---,Tense=Past|VerbForm=Inf|Voice=Act,advcl,0.0,φησί,(),False,xxxx͂xxx,False,False,False,False,Past,Inf,Act,,,,,,
τὴν,τὴν,τὴν,τὴν,ὴν,τ,-20.0,DET,l-s---fa-,Case=Acc|Gender=Fem|Number=Sing,det,0.0,γῆν,(),False,xx̀x,False,False,False,False,,,,Acc,Fem,Sing,,,
γῆν,γῆν,γῆ,γῆν,ῆν,γ,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obj,0.0,χλοῆσαι,(),False,xx͂x,False,False,False,False,,,,Acc,Fem,Sing,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,χλοῆσαι,(),False,",",False,True,False,False,,,,,,,,,
αὐτὸ,αὐτὸ,αὐτὸς,αὐτὸ,τὸ,α,-20.0,ADJ,p-s---na-,Case=Acc|Gender=Neut|Number=Sing,nmod,0.0,τοῦτο,(),False,xx̓xx̀,False,False,False,False,,,,Acc,Neut,Sing,,,
τοῦτο,τοῦτο,τοῦτος,τοῦτο,͂το,τ,-20.0,PRON,p-s---na-,Case=Acc|Gender=Neut|Number=Sing,obj,0.0,χλόη,(),False,xxx͂xx,False,False,False,False,,,,Acc,Neut,Sing,,,
ἐν,ἐν,ἐν,ἐν,ἐν,ε,-20.0,ADP,r--------,,case,0.0,φύσει,(),False,x̓x,False,False,False,False,,,,,,,,,
τῇ,τῇ,τῇ,τῇ,ῇ,τ,-20.0,DET,l-s---fd-,Case=Dat|Gender=Fem|Number=Sing,det,0.0,φύσει,(),False,xx͂ͅ,False,False,False,False,,,,Dat,Fem,Sing,,,
