orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Degree,Gender,Number,Mood,Person,Tense,VerbForm,Voice,Aspect
ἐναργέστατα,ἐναργέστατα,ἐναργέστερος,ἐναργέστατα,ατα,ε,-20.0,ADJ,a-p---nas,Case=Acc|Degree=Sup|Gender=Neut|Number=Plur,advmod,0.0,παρίστησιν,(),False,x̓xxxx́xxxx,False,False,False,False,Acc,Sup,Neut,Plur,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,παρίστησιν,(),False,xxx̀,False,False,False,False,,,,,,,,,,
διὰ,διὰ,διὰ,διὰ,ιὰ,δ,-20.0,ADP,r--------,,case,0.0,τούτου,(),False,xxx̀,False,False,False,False,,,,,,,,,,
τούτου,τούτου,τούτου,τούτου,του,τ,-20.0,PRON,p-s---ng-,Case=Gen|Gender=Neut|Number=Sing,obl,0.0,παρίστησιν,(),False,xxx́xxx,False,False,False,False,Gen,,Neut,Sing,,,,,,
παρίστησιν,παρίστησιν,παρίστημι,παρίστησιν,σιν,π,-20.0,VERB,v3spia---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,ROOT,0.0,παρίστησιν,(),False,xxxx́xxxx,False,False,False,False,,,,Sing,Ind,3,Pres,Fin,Act,
ὅτι,ὅτι,ὅτι,ὅτι,́τι,ο,-20.0,SCONJ,c--------,,mark,0.0,παμμεγέθης,(),False,x̔́xx,False,False,False,False,,,,,,,,,,
διαφορὰ,διαφορὰ,διαφορὰ,διαφορὰ,ρὰ,δ,-20.0,NOUN,a-p---nn-,Case=Nom|Gender=Fem|Number=Sing,nsubj,0.0,παμμεγέθης,(),False,xxxx̀,False,False,False,False,Nom,,Fem,Sing,,,,,,
παμμεγέθης,παμμεγέθης,παμμεγέθης,παμμεγέθης,θης,π,-20.0,ADJ,a-s---mn-,Case=Nom|Gender=Masc|Number=Sing,ccomp,0.0,παρίστησιν,(),False,xxxx́xxx,False,False,False,False,Nom,,Masc,Sing,,,,,,
ἐστὶ,ἐστὶ,ἐστὶ,ἐστὶ,τὶ,ε,-20.0,AUX,v3spia---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,cop,0.0,παμμεγέθης,(),False,x̓xxx̀,False,False,False,False,,,,Sing,Ind,3,Pres,Fin,Act,
τοῦ,τοῦ,τοῦ,τοῦ,οῦ,τ,-20.0,DET,l-s---mg-,Case=Gen|Gender=Masc|Number=Sing,det,0.0,ἀνθρώπου,(),False,xxx͂,False,False,False,False,Gen,,Masc,Sing,,,,,,
τε,τε,τε,τε,τε,τ,-20.0,ADV,d--------,,advmod,0.0,πλασθέντος,(),True,xx,True,False,False,False,,,,,,,,,,
νῦν,νῦν,νῦν,νῦν,ῦν,ν,-20.0,ADV,d--------,,advmod,0.0,πλασθέντος,(),False,xx͂x,False,False,False,False,,,,,,,,,,
πλασθέντος,πλασθέντος,πλασθέντος,πλασθέντος,τος,π,-20.0,VERB,v-sappmg-,Case=Gen|Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part|Voice=Pass,nmod,0.0,ἀνθρώπου,(),False,xxxx́xxxx,False,False,False,False,Gen,,Masc,Sing,,,Past,Part,Pass,
ἀνθρώπου,ἀνθρώπου,ἀνθρώπου,ἀνθρώπου,που,α,-20.0,NOUN,n-s---mg-,Case=Gen|Gender=Masc|Number=Sing,nsubj,0.0,παμμεγέθης,"(θεοῦ,)",False,x̓xxxx́xxx,False,False,False,False,Gen,,Masc,Sing,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,ἀνθρώπου,(),False,xxx̀,False,False,False,False,,,,,,,,,,
τοῦ,τοῦ,τοῦ,τοῦ,οῦ,τ,-20.0,DET,l-s---mg-,Case=Gen|Gender=Masc|Number=Sing,det,0.0,θεοῦ,(),False,xxx͂,False,False,False,False,Gen,,Masc,Sing,,,,,,
κατὰ,κατὰ,κατὰ,κατὰ,τὰ,κ,-20.0,ADP,r--------,,case,0.0,εἰκόνα,(),False,xxxx̀,False,False,False,False,,,,,,,,,,
τὴν,τὴν,τὴν,τὴν,ὴν,τ,-20.0,DET,l-s---fa-,Case=Acc|Gender=Fem|Number=Sing,det,0.0,εἰκόνα,(),False,xx̀x,False,False,False,False,Acc,,Fem,Sing,,,,,,
εἰκόνα,εἰκόνα,εἰκόνα,εἰκόνα,́να,ε,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,nmod,0.0,θεοῦ,(),False,xx̓xx́xx,False,False,False,False,Acc,,Fem,Sing,,,,,,
θεοῦ,θεοῦ,θεοῦ,θεοῦ,οῦ,θ,-20.0,NOUN,n-s---mg-,Case=Gen|Gender=Masc|Number=Sing,conj,0.0,ἀνθρώπου,"(ἀνθρώπου,)",False,xxxx͂,False,False,False,False,Gen,,Masc,Sing,,,,,,
γεγονότος,γεγονότος,γεγονότος,γεγονότος,τος,γ,-20.0,VERB,v-sapamg-,Case=Gen|Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part|Voice=Act,nmod,0.0,θεοῦ,(),False,xxxx́xxx,False,False,False,False,Gen,,Masc,Sing,,,Past,Part,Act,
πρότερον,πρότερον,πρότερος,πρότερον,ρον,π,-20.0,ADJ,a-s---na-,Case=Acc|Gender=Neut|Number=Sing,advmod,0.0,γεγονότος,(),False,xxx́xxxx,False,False,False,False,Acc,,Neut,Sing,,,,,,
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,παρίστησιν,(),False,·,False,True,False,False,,,,,,,,,,
ὁ,ὁ,ὁ,ὁ,ὁ,ο,-20.0,DET,l-s---mn-,Case=Nom|Gender=Masc|Number=Sing,ROOT,0.0,ὁ,(),False,x̔,False,False,False,False,Nom,,Masc,Sing,,,,,,
μὲν,μὲν,μὲν,μὲν,ὲν,μ,-20.0,ADV,d--------,,fixed,0.0,ὁ,(),False,xx̀x,False,False,False,False,,,,,,,,,,
γὰρ,γὰρ,γὰρ,γὰρ,ὰρ,γ,-20.0,ADV,d--------,,advmod,0.0,·,(),False,xx̀x,False,False,False,False,,,,,,,,,,
διαπλασθεὶς,διαπλασθεὶς,διαπλασθεὶς,διαπλασθεὶς,ὶς,δ,-20.0,VERB,v-sappmn-,Case=Nom|Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part|Voice=Pass,nsubj,0.0,μετέχων,(),False,xxxx̀x,False,False,False,False,Nom,,Masc,Sing,,,Past,Part,Pass,
αἰσθητὸς,αἰσθητὸς,αἰσθητὸς,αἰσθητὸς,ὸς,α,-20.0,ADJ,a-s---mn-,Case=Nom|Gender=Masc|Number=Sing,xcomp,0.0,μετέχων,(),False,xx̓xxxx̀x,False,False,False,False,Nom,,Masc,Sing,,,,,,
ἤδη,ἤδη,ἤδη,ἤδη,́δη,η,-20.0,ADV,d--------,,advmod,0.0,μετέχων,(),False,x̓́xx,False,False,False,False,,,,,,,,,,
μετέχων,μετέχων,μετέχω,μετέχων,χων,μ,-20.0,VERB,v-sppamn-,Case=Nom|Gender=Masc|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Act,dep,0.0,γὰρ,"(ἀνὴρ, θνητός, γυνή)",False,xxxx́xxx,False,False,False,False,Nom,,Masc,Sing,,,Pres,Part,Act,
ποιότητος,ποιότητος,ποιότης,ποιότητος,τος,π,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,obj,0.0,μετέχων,(),False,xxxx́xxxx,False,False,False,False,Gen,,Fem,Sing,,,,,,
