orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Aspect,Tense,VerbForm,Voice,Mood,Person,Degree
τῶν,τῶν,τῶν,τῶν,ῶν,τ,-20.0,DET,l-p---ng-,Case=Gen|Gender=Neut|Number=Plur,det,0.0,εἰρημένων,(),False,xx͂x,False,False,False,False,Gen,Neut,Plur,,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,advmod,0.0,ἀπᾴδει,(),False,xx̀,False,False,False,False,,,,,,,,,,
’,’,έ,',’,’,-20.0,ADV,d--------,,advmod,0.0,ἀπᾴδει,(),False,’,False,True,False,False,,,,,,,,,,
εἰρημένων,εἰρημένων,εἰρημένων,εἰρημένων,νων,ε,-20.0,VERB,v-prpeng-,Aspect=Perf|Case=Gen|Gender=Neut|Number=Plur|Tense=Past|VerbForm=Part|Voice=Mid,obj,0.0,ἀπᾴδει,(),False,xx̓xxxx́xxx,False,False,False,False,Gen,Neut,Plur,Perf,Past,Part,Mid,,,
οὐ,οὐ,οὐ,οὐ,οὐ,ο,-20.0,ADV,d--------,,advmod,0.0,ἀπᾴδει,(),False,xx̓,False,False,False,False,,,,,,,,,,
ἀπᾴδει,ἀπᾴδει,ἀπᾴδω,ἀπᾴδει,δει,α,-20.0,VERB,v3spia---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,ROOT,0.0,ἀπᾴδει,(),False,x̓xx́ͅxxx,False,False,False,False,,,Sing,,Pres,Fin,Act,Ind,3,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,ADV,d--------,,advmod,0.0,ἀπᾴδει,(),False,xxx̀,False,False,False,False,,,,,,,,,,
τὸ,τὸ,τὸ,τὸ,τὸ,τ,-20.0,DET,l-s---nn-,Case=Nom|Gender=Neut|Number=Sing,det,0.0,μέλλον,(),False,xx̀,False,False,False,False,Nom,Neut,Sing,,,,,,,
μέλλον,μέλλον,μέλλω,μέλλον,λον,μ,-20.0,VERB,v-sppann-,Case=Nom|Gender=Neut|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Act,nsubj,0.0,ἀπᾴδει,(),False,xx́xxxx,False,False,False,False,Nom,Neut,Sing,,Pres,Part,Act,,,
λέγεσθαι,λέγεσθαι,λέγω,λέγεσθαι,θαι,λ,-20.0,VERB,v--pne---,Tense=Pres|VerbForm=Inf|Voice=Mid,xcomp,0.0,μέλλον,(),False,xx́xxxx,False,False,False,False,,,,,Pres,Inf,Mid,,,
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,ἀπᾴδει,(),False,·,False,True,False,False,,,,,,,,,,
πάσῃ,πάσῃ,πάσῃ,πάσῃ,σῃ,π,-20.0,ADJ,a-s---fd-,Case=Dat|Gender=Fem|Number=Sing,nmod,0.0,μητρὶ,(),False,xx́xxͅ,False,False,False,False,Dat,Fem,Sing,,,,,,,
μητρὶ,μητρὶ,μητρὶ,μητρὶ,ρὶ,μ,-20.0,NOUN,n-s---fd-,Case=Dat|Gender=Fem|Number=Sing,obl,0.0,ἀνέδωκε,(),False,xxxx̀,False,False,False,False,Dat,Fem,Sing,,,,,,,
καθάπερ,καθάπερ,καθά,καθάπερ,περ,κ,-20.0,SCONJ,c--------,,mark,0.0,μέρος,(),False,xxxx́xxx,False,False,False,False,,,,,,,,,,
ἀναγκαιότατον,ἀναγκαιότατον,ἀναγκαιός,ἀναγκαιότατον,τον,α,-20.0,ADJ,a-s---nas,Case=Acc|Degree=Sup|Gender=Neut|Number=Sing,nmod,0.0,μέρος,(),False,x̓xxxx́xxxx,False,False,False,False,Acc,Neut,Sing,,,,,,,Sup
μέρος,μέρος,μέρος,μέρος,ρος,μ,-20.0,NOUN,n-s---na-,Case=Acc|Gender=Neut|Number=Sing,nmod,0.0,μητρὶ,(),False,xx́xxx,False,False,False,False,Acc,Neut,Sing,,,,,,,
ἡ,ἡ,ἡ,ἡ,ἡ,η,-20.0,DET,l-s---fn-,Case=Nom|Gender=Fem|Number=Sing,det,0.0,φύσις,(),False,x̔,False,False,False,False,Nom,Fem,Sing,,,,,,,
φύσις,φύσις,φύσις,φύσις,σις,φ,-20.0,NOUN,n-s---fn-,Case=Nom|Gender=Fem|Number=Sing,nsubj,0.0,ἀνέδωκε,(),False,xx́xxx,False,False,False,False,Nom,Fem,Sing,,,,,,,
πηγάζοντας,πηγάζοντας,πηγάζω,πηγάζοντας,τας,π,-20.0,VERB,v-pppama-,Case=Acc|Gender=Masc|Number=Plur|Tense=Pres|VerbForm=Part|Voice=Act,advcl,0.0,ἀνέδωκε,(),False,xxxx́xxxx,False,False,False,False,Acc,Masc,Plur,,Pres,Part,Act,,,
ἀνέδωκε,ἀνέδωκε,ἀνέδωκε,ἀνέδωκε,ωκε,α,-20.0,VERB,v3saia---,Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act,ROOT,0.0,ἀνέδωκε,(),False,x̓xx́xxxx,False,False,False,False,,,Sing,,Past,Fin,Act,Ind,3,
μαστοὺς,μαστοὺς,μαστοὺς,μαστοὺς,ὺς,μ,-20.0,NOUN,n-p---ma-,Case=Acc|Gender=Masc|Number=Plur,obj,0.0,ἀνέδωκε,(),False,xxxx̀x,False,False,False,False,Acc,Masc,Plur,,,,,,,
προευτρεπισαμένη,προευτρεπισαμένη,προευτρεπισαμένη,προευτρεπισαμένη,́νη,π,-20.0,VERB,v-sapmfn-,Case=Nom|Gender=Fem|Number=Sing|Tense=Past|VerbForm=Part|Voice=Mid,advcl,0.0,ἀνέδωκε,(),False,xxxx́xx,False,False,False,False,Nom,Fem,Sing,,Past,Part,Mid,,,
τροφὰς,τροφὰς,τροφὰς,τροφὰς,ὰς,τ,-20.0,NOUN,n-p---fa-,Case=Acc|Gender=Fem|Number=Plur,obj,0.0,προευτρεπισαμένη,(),False,xxxx̀x,False,False,False,False,Acc,Fem,Plur,,,,,,,
τῷ,τῷ,τῷ,τῷ,ῷ,τ,-20.0,DET,l-s---md-,Case=Dat|Gender=Masc|Number=Sing,det,0.0,γεννησομένῳ,(),False,xx͂ͅ,False,False,False,False,Dat,Masc,Sing,,,,,,,
γεννησομένῳ,γεννησομένῳ,γεννησομένῳ,γεννησομένῳ,νῳ,γ,-20.0,VERB,v-sappmd-,Case=Dat|Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part|Voice=Pass,obj,0.0,προευτρεπισαμένη,(),False,xxxx́xxͅ,False,False,False,False,Dat,Masc,Sing,,Past,Part,Pass,,,
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,ἀνέδωκε,(),False,·,False,True,False,False,,,,,,,,,,
μήτηρ,μήτηρ,μήτηρ,μήτηρ,τηρ,μ,-20.0,NOUN,n-s---fn-,Case=Nom|Gender=Fem|Number=Sing,nsubj,0.0,ἔδοξεν,(),False,xx́xxx,False,False,False,False,Nom,Fem,Sing,,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,advmod,0.0,ἔδοξεν,(),False,xx̀,False,False,False,False,,,,,,,,,,
’,’,έ,',’,’,-20.0,ADV,d--------,,advmod,0.0,ἔδοξεν,(),False,’,False,True,False,False,,,,,,,,,,
ὡς,ὡς,ὡς,ὡς,ὡς,ω,-20.0,ADV,d--------,,mark,0.0,ἔοικε,(),False,x̔x,False,False,False,False,,,,,,,,,,
ἔοικε,ἔοικε,ἔοικα,ἔοικε,ικε,ε,-20.0,VERB,v3sria---,Aspect=Perf|Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act,advcl,0.0,ἔδοξεν,(),False,x̓́xxxx,False,False,False,False,,,Sing,Perf,Past,Fin,Act,Ind,3,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,ADV,d--------,,advmod,0.0,γῆ,(),False,xxx̀,False,False,False,False,,,,,,,,,,
ἡ,ἡ,ἡ,ἡ,ἡ,η,-20.0,DET,l-s---fn-,Case=Nom|Gender=Fem|Number=Sing,det,0.0,γῆ,(),False,x̔,False,False,False,False,Nom,Fem,Sing,,,,,,,
γῆ,γῆ,γῆ,γῆ,γῆ,γ,-20.0,NOUN,n-s---fn-,Case=Nom|Gender=Fem|Number=Sing,nsubj,0.0,ἔοικε,(),False,xx͂,False,False,False,False,Nom,Fem,Sing,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἔδοξεν,(),False,",",False,True,False,False,,,,,,,,,,
παρὸ,παρὸ,παρὸ,παρὸ,ρὸ,π,-20.0,SCONJ,c--------,,mark,0.0,ἔδοξεν,(),False,xxxx̀,False,False,False,False,,,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,ADV,d--------,,advmod,0.0,ἔδοξεν,(),False,xxx̀,False,False,False,False,,,,,,,,,,
τοῖς,τοῖς,τοῖς,τοῖς,ῖς,τ,-20.0,DET,l-p---md-,Case=Dat|Gender=Masc|Number=Plur,det,0.0,πρώτοις,(),False,xxx͂x,False,False,False,False,Dat,Masc,Plur,,,,,,,
πρώτοις,πρώτοις,πρώτοις,πρώτοις,οις,π,-20.0,ADJ,a-p---md-,Case=Dat|Gender=Masc|Number=Plur,obl,0.0,ἔδοξεν,(),False,xxx́xxxx,False,False,False,False,Dat,Masc,Plur,,,,,,,
ἔδοξεν,ἔδοξεν,ἔδοξεν,ἔδοξεν,ξεν,ε,-20.0,VERB,v3saia---,Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act,ROOT,0.0,ἔδοξεν,(),False,x̓́xxxx,False,False,False,False,,,Sing,,Past,Fin,Act,Ind,3,
αὐτὴν,αὐτὴν,αὐτὴν,αὐτὴν,ὴν,α,-20.0,PRON,p-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obj,0.0,καλέσαι,(),False,xx̓xx̀x,False,False,False,False,Acc,Fem,Sing,,,,,,,
δήμητραν,δήμητραν,δήμητρα,δήμητραν,ραν,δ,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,xcomp,0.0,καλέσαι,(),False,xx́xxxx,False,False,False,False,Acc,Fem,Sing,,,,,,,
καλέσαι,καλέσαι,καλέω,καλέσαι,σαι,κ,-20.0,VERB,v--ana---,Tense=Past|VerbForm=Inf|Voice=Act,ccomp,0.0,ἔδοξεν,(),False,xxxx́xxx,False,False,False,False,,,,,Past,Inf,Act,,,
τὸ,τὸ,τὸ,τὸ,τὸ,τ,-20.0,DET,l-s---na-,Case=Acc|Gender=Neut|Number=Sing,det,0.0,συνθεῖσιν,(),False,xx̀,False,False,False,False,Acc,Neut,Sing,,,,,,,
μητρὸς,μητρὸς,μητρὸς,μητρὸς,ὸς,μ,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,nmod,0.0,ὄνομα,"(γῆς,)",False,xxxx̀x,False,False,False,False,Gen,Fem,Sing,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,μητρὸς,(),False,xxx̀,False,False,False,False,,,,,,,,,,
γῆς,γῆς,γῆ,γῆς,ῆς,γ,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,conj,0.0,μητρὸς,"(μητρὸς,)",False,xx͂x,False,False,False,False,Gen,Fem,Sing,,,,,,,
