orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Tense,VerbForm,Voice,Aspect,Mood,Person
μόνῳ,μόνῳ,μόνῳ,μόνῳ,νῳ,μ,-20.0,ADJ,a-s---md-,Case=Dat|Gender=Masc|Number=Sing,dep,0.0,ἔγνω,(),False,xx́xxͅ,False,False,False,False,Dat,Masc,Sing,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,advmod,0.0,ἔγνω,(),False,xx̀,False,False,False,False,,,,,,,,,
αὑτῷ,αὑτῷ,αὑτῷ,αὑτῷ,ῷ,α,-20.0,ADJ,a-s---md-,Case=Dat|Gender=Masc|Number=Sing,obj,0.0,χρησάμενος,(),False,xx̔xx͂ͅ,False,False,False,False,Dat,Masc,Sing,,,,,,
χρησάμενος,χρησάμενος,χρησάμενος,χρησάμενος,νος,χ,-20.0,VERB,v-sapmmn-,Case=Nom|Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part|Voice=Mid,advcl,0.0,ἔγνω,(),False,xxxx́xxxx,False,False,False,False,Nom,Masc,Sing,Past,Part,Mid,,,
ὁ,ὁ,ὁ,ὁ,ὁ,ο,-20.0,DET,l-s---mn-,Case=Nom|Gender=Masc|Number=Sing,det,0.0,θεὸς,(),False,x̔,False,False,False,False,Nom,Masc,Sing,,,,,,
θεὸς,θεὸς,θεὸς,θεὸς,ὸς,θ,-20.0,NOUN,n-s---mn-,Case=Nom|Gender=Masc|Number=Sing,nsubj,0.0,ἔγνω,(),False,xxx̀x,False,False,False,False,Nom,Masc,Sing,,,,,,
ἔγνω,ἔγνω,ἔγνω,ἔγνω,γνω,ε,-20.0,VERB,v3saia---,Aspect=Perf|Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act,ROOT,0.0,ἔγνω,(),False,x̓́xxx,False,False,False,False,,,Sing,Past,Fin,Act,Perf,Ind,3
δεῖν,δεῖν,δεῖ,δεῖν,ῖν,δ,-20.0,VERB,v-spp-nn-,Tense=Pres|VerbForm=Inf|Voice=Act,ccomp,0.0,ἔγνω,(),False,xxx͂x,False,False,False,False,,,,Pres,Inf,Act,,,
εὐεργετεῖν,εὐεργετεῖν,εὐεργετεῖν,εὐεργετεῖν,ῖν,ε,-20.0,VERB,v--pna---,Tense=Pres|VerbForm=Inf|Voice=Act,xcomp,0.0,δεῖν,(),False,xx̓xxxx͂x,False,False,False,False,,,,Pres,Inf,Act,,,
ἀταμιεύτοις,ἀταμιεύτοις,ἀταμιεύτοις,ἀταμιεύτοις,οις,α,-20.0,ADJ,A-,Case=Dat|Gender=Masc|Number=Plur,nmod,0.0,φύσιν,"(χάρισι,)",False,x̓xxxx́xxxx,False,False,False,False,Dat,Masc,Plur,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,ἀταμιεύτοις,(),False,xxx̀,False,False,False,False,,,,,,,,,
πλουσίαις,πλουσίαις,πλουσίος,πλουσίαις,αις,π,-20.0,ADJ,a-p---fd-,Case=Dat|Gender=Fem|Number=Plur,amod,0.0,χάρισι,(),False,xxxx́xxx,False,False,False,False,Dat,Fem,Plur,,,,,,
χάρισι,χάρισι,χάρις,χάρισι,ισι,χ,-20.0,NOUN,Nb,Case=Dat|Gender=Fem|Number=Plur,conj,0.0,ἀταμιεύτοις,"(ἀταμιεύτοις,)",False,xx́xxxx,False,False,False,False,Dat,Fem,Plur,,,,,,
τὴν,τὴν,τὴν,τὴν,ὴν,τ,-20.0,DET,l-s---fa-,Case=Acc|Gender=Fem|Number=Sing,det,0.0,φύσιν,(),False,xx̀x,False,False,False,False,Acc,Fem,Sing,,,,,,
ἄνευ,ἄνευ,ἄνευ,ἄνευ,νευ,α,-20.0,ADP,r--------,,case,0.0,δωρεᾶς,(),False,x̓́xxx,False,False,False,False,,,,,,,,,
δωρεᾶς,δωρεᾶς,δωρεᾶς,δωρεᾶς,ᾶς,δ,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,nmod,0.0,φύσιν,(),False,xxxx͂x,False,False,False,False,Gen,Fem,Sing,,,,,,
θείας,θείας,θείας,θείας,́ας,θ,-20.0,ADJ,A-,Case=Gen|Gender=Fem|Number=Sing,nmod,0.0,ἀταμιεύτοις,(),False,xxx́xx,False,False,False,False,Gen,Fem,Sing,,,,,,
φύσιν,φύσιν,φύσις,φύσιν,σιν,φ,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obj,0.0,ἔγνω,(),False,xx́xxx,False,False,False,False,Acc,Fem,Sing,,,,,,
οὐδενὸς,οὐδενὸς,οὐδενὸς,οὐδενὸς,ὸς,ο,-20.0,ADJ,Px,Case=Gen|Gender=Neut|Number=Sing,nmod,0.0,ἀγαθοῦ,(),False,xx̓xxxx̀x,False,False,False,False,Gen,Neut,Sing,,,,,,
ἀγαθοῦ,ἀγαθοῦ,ἀγαθοῦ,ἀγαθοῦ,οῦ,α,-20.0,ADJ,A-,Case=Gen|Gender=Neut|Number=Sing,xcomp,0.0,ἐπιλαχεῖν,(),False,x̓xxxx͂,False,False,False,False,Gen,Neut,Sing,,,,,,
δυναμένην,δυναμένην,δυναμένην,δυναμένην,νην,δ,-20.0,VERB,v-sppefa-,Case=Acc|Gender=Fem|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Mid,acl,0.0,φύσιν,(),False,xxxx́xxx,False,False,False,False,Acc,Fem,Sing,Pres,Part,Mid,,,
ἐπιλαχεῖν,ἐπιλαχεῖν,ἐπιλαχεῖν,ἐπιλαχεῖν,ῖν,ε,-20.0,VERB,v--ana---,Tense=Past|VerbForm=Inf|Voice=Act,xcomp,0.0,δυναμένην,(),False,x̓xxxx͂x,False,False,False,False,,,,Past,Inf,Act,,,
ἐκ,ἐκ,ἐκ,ἐκ,ἐκ,ε,-20.0,ADP,r--------,,case,0.0,ἑαυτῆς,(),False,x̓x,False,False,False,False,,,,,,,,,
ἑαυτῆς,ἑαυτῆς,ἑαυτῆς,ἑαυτῆς,ῆς,ε,-20.0,PRON,p-s---fg-,Case=Gen|Gender=Fem|Number=Sing,obl,0.0,ἐπιλαχεῖν,(),False,x̔xxxx͂x,False,False,False,False,Gen,Fem,Sing,,,,,,
.,.,.,.,.,.,-20.0,PUNCT,u--------,,punct,0.0,ἔγνω,(),False,.,False,True,False,False,,,,,,,,,
