orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Degree,Mood,Person,Tense,VerbForm,Voice
τοσούτῳ,τοσούτῳ,τοσούτῳ,τοσούτῳ,τῳ,τ,-20.0,ADJ,a-s---md-,Case=Dat|Gender=Neut|Number=Sing,obj,0.0,οἶμαι,(),False,xxxx́xxͅ,False,False,False,False,Dat,Neut,Sing,,,,,,
γὰρ,γὰρ,γὰρ,γὰρ,ὰρ,γ,-20.0,ADV,d--------,,advmod,0.0,οἶμαι,(),False,xx̀x,False,False,False,False,,,,,,,,,
τοῦ,τοῦ,τοῦ,τοῦ,οῦ,τ,-20.0,DET,l-s---ng-,Case=Gen|Gender=Neut|Number=Sing,det,0.0,ὁρατοῦ,(),False,xxx͂,False,False,False,False,Gen,Neut,Sing,,,,,,
ὁρατοῦ,ὁρατοῦ,ὁρατοῦ,ὁρατοῦ,οῦ,ο,-20.0,ADJ,a-s---ng-,Case=Gen|Gender=Neut|Number=Sing,obj,0.0,λαμπρότερόν,(),False,x̔xxxx͂,False,False,False,False,Gen,Neut,Sing,,,,,,
λαμπρότερόν,λαμπρότερόν,λαμπρότερόν,λαμπρότερόν,όν,λ,-20.0,ADJ,a-s---nac,Case=Nom|Degree=Cmp|Gender=Neut|Number=Sing,dep,0.0,οἶμαι,"(αὐγοειδέστερον,)",False,xxxx́xxxx́x,False,False,False,False,Nom,Neut,Sing,Cmp,,,,,
τε,τε,τε,τε,τε,τ,-20.0,ADV,d--------,,advmod,0.0,λαμπρότερόν,(),True,xx,True,False,False,False,,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,λαμπρότερόν,(),False,xxx̀,False,False,False,False,,,,,,,,,
αὐγοειδέστερον,αὐγοειδέστερον,αὐγοειδέστερον,αὐγοειδέστερον,ρον,α,-20.0,ADJ,A-,Case=Nom|Degree=Cmp|Gender=Neut|Number=Sing,conj,0.0,λαμπρότερόν,"(λαμπρότερόν,)",False,xx̓xxxx́xxxx,False,False,False,False,Nom,Neut,Sing,Cmp,,,,,
ὅσῳπερ,ὅσῳπερ,ὅσῳπερ,ὅσῳπερ,περ,ο,-20.0,ADV,d--------,,fixed,0.0,λαμπρότερόν,(),False,x̔́xxͅxxx,False,False,False,False,,,,,,,,,
ἥλιος,ἥλιος,ἥλιος,ἥλιος,ιος,η,-20.0,NOUN,n-s---mn-,Case=Nom|Gender=Masc|Number=Sing,nsubj,0.0,οἶμαι,"(νοῦς,)",False,x̔́xxxx,False,False,False,False,Nom,Masc,Sing,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,οἶμαι,(),False,",",False,True,False,False,,,,,,,,,
οἶμαι,οἶμαι,οἶμαι,οἶμαι,μαι,ο,-20.0,VERB,v1spia---,Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act,ROOT,0.0,οἶμαι,(),False,xx̓͂xxx,False,False,False,False,,,Sing,,Ind,1,Pres,Fin,Act
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,οἶμαι,(),False,",",False,True,False,False,,,,,,,,,
σκότους,σκότους,σκότος,σκότους,ους,σ,-20.0,NOUN,n-s---ng-,Case=Gen|Gender=Neut|Number=Sing,nmod,0.0,νοῦς,"(ἡμέρα, κριτήρια)",False,xxx́xxxx,False,False,False,False,Gen,Neut,Sing,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,advmod,0.0,σκότους,(),False,xxx̀,False,False,False,False,,,,,,,,,
ἡμέρα,ἡμέρα,ἡμέρα,ἡμέρα,́ρα,η,-20.0,NOUN,n-s---fn-,Case=Nom|Gender=Fem|Number=Sing,conj,0.0,σκότους,"(σκότους, κριτήρια)",False,x̔xx́xx,False,False,False,False,Nom,Fem,Sing,,,,,,
νυκτὸς,νυκτὸς,νυκτὸς,νυκτὸς,ὸς,ν,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,obl,0.0,σκότους,(),False,xxxx̀x,False,False,False,False,Gen,Fem,Sing,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,σκότους,(),False,xxx̀,False,False,False,False,,,,,,,,,
[,[,[,[,[,[,-20.0,PUNCT,u--------,,punct,0.0,κριτήρια,(),False,[,False,True,False,False,,,,,,,,,
τὰ,τὰ,τὰ,τὰ,τὰ,τ,-20.0,DET,l-p---nn-,Case=Nom|Gender=Neut|Number=Plur,det,0.0,κριτήρια,(),False,xx̀,False,False,False,False,Nom,Neut,Plur,,,,,,
κριτήρια,κριτήρια,κριτήριον,κριτήρια,ρια,κ,-20.0,NOUN,n-p---nn-,Case=Nom|Gender=Neut|Number=Plur,conj,0.0,σκότους,"(σκότους, ἡμέρα)",False,xxxx́xxx,False,False,False,False,Nom,Neut,Plur,,,,,,
],],],],],],-20.0,PUNCT,u--------,,punct,0.0,σκότους,(),False,],False,True,False,False,,,,,,,,,
