orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Aspect,Tense,VerbForm,Voice,Definite,PronType,Mood,Person,Degree
ὅμοιον,ὅμοιον,ὅμοιος,ὅμοιον,ιον,ο,-20.0,ADJ,A-,Case=Nom|Gender=Neut|Number=Sing,xcomp,0.0,πεπονθέναι,(),False,x̔́xxxx,False,False,False,False,Nom,Neut,Sing,,,,,,,,,
δή,δή,δή,δή,δή,δ,-20.0,ADV,Df,,discourse,0.0,ὅμοιον,(),False,xx́,False,False,False,False,,,,,,,,,,,,
τι,τι,τὶς,τι,τι,τ,-20.0,DET,Px,Case=Acc|Gender=Neut|Number=Sing,det,0.0,πεπονθέναι,(),True,xx,True,False,False,False,Acc,Neut,Sing,,,,,,,,,
πεπονθέναι,πεπονθέναι,πεπονθέναι,πεπονθέναι,ναι,π,-20.0,VERB,v--rna---,Aspect=Perf|Tense=Past|VerbForm=Inf|Voice=Act,advcl,0.0,φαίνεται,(),False,xxxx́xxx,False,False,False,False,,,,Perf,Past,Inf,Act,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,C-,,cc,0.0,φαίνεται,(),False,xxx̀,False,False,False,False,,,,,,,,,,,,
τὸ,τὸ,τὸ,τὸ,τὸ,τ,-20.0,DET,l-s---nn-,Case=Nom|Definite=Def|Gender=Neut|Number=Sing|PronType=Dem,det,0.0,γένος,(),False,xx̀,False,False,False,False,Nom,Neut,Sing,,,,,Def,Dem,,,
γένος,γένος,γένος,γένος,νος,γ,-20.0,NOUN,n-s---nn-,Case=Nom|Gender=Neut|Number=Sing,nsubj,0.0,φαίνεται,(),False,xx́xxx,False,False,False,False,Nom,Neut,Sing,,,,,,,,,
τῶν,τῶν,τῶν,τῶν,ῶν,τ,-20.0,DET,S-,Case=Gen|Definite=Def|Number=Plur|PronType=Dem,det,0.0,ἀνθρώπων,(),False,xx͂x,False,False,False,False,Gen,,Plur,,,,,Def,Dem,,,
ἀνθρώπων,ἀνθρώπων,ἀνθρώπων,ἀνθρώπων,πων,α,-20.0,NOUN,n-p---mg-,Case=Gen|Gender=Masc|Number=Plur,nmod,0.0,γένος,(),False,x̓xxxx́xxx,False,False,False,False,Gen,Masc,Plur,,,,,,,,,
φαίνεται,φαίνεται,φαίνω,φαίνεται,ται,φ,-20.0,VERB,v3spie---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid,ROOT,0.0,φαίνεται,(),False,xxx́xxxx,False,False,False,False,,,Sing,,Pres,Fin,Mid,,,Ind,3,
κατὰ,κατὰ,κατὰ,κατὰ,τὰ,κ,-20.0,ADP,R-,,case,0.0,γενεὰν,(),False,xxxx̀,False,False,False,False,,,,,,,,,,,,
’,’,ά,',’,’,-20.0,ADP,R-,,case,0.0,γενεὰν,(),False,’,False,True,False,False,,,,,,,,,,,,
ἑκάστην,ἑκάστην,ἑκάστην,ἑκάστην,την,ε,-20.0,ADJ,A-,Case=Acc|Degree=Pos|Gender=Fem|Number=Sing,nmod,0.0,γενεὰν,(),False,x̔xx́xxxx,False,False,False,False,Acc,Fem,Sing,,,,,,,,,Pos
γενεὰν,γενεὰν,γενεὰν,γενεὰν,ὰν,γ,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obl,0.0,λαμβανόντων,(),False,xxxx̀x,False,False,False,False,Acc,Fem,Sing,,,,,,,,,
ἀμυδροτέρας,ἀμυδροτέρας,ἀμυδροτέρας,ἀμυδροτέρας,ρας,α,-20.0,ADJ,A-,Case=Acc|Degree=Cmp|Gender=Fem|Number=Plur,obj,0.0,λαμβανόντων,(),False,x̓xxxx́xxx,False,False,False,False,Acc,Fem,Plur,,,,,,,,,Cmp
λαμβανόντων,λαμβανόντων,λαμβανόντων,λαμβανόντων,των,λ,-20.0,VERB,V-,Case=Gen|Gender=Masc|Number=Plur|Tense=Pres|VerbForm=Part|Voice=Act,advcl,0.0,φαίνεται,(),False,xxxx́xxxx,False,False,False,False,Gen,Masc,Plur,,Pres,Part,Act,,,,,
τάς,τάς,τάς,τάς,άς,τ,-20.0,DET,S-,Case=Acc|Gender=Fem|Number=Plur,det,0.0,σώματος,(),False,xx́x,False,False,False,False,Acc,Fem,Plur,,,,,,,,,
τε,τε,τε,τε,τε,τ,-20.0,ADV,d--------,,advmod,0.0,σώματος,(),True,xx,True,False,False,False,,,,,,,,,,,,
τοῦ,τοῦ,τοῦ,τοῦ,οῦ,τ,-20.0,DET,S-,"Case=Gen|Definite=Def|Gender=Masc,Neut|Number=Sing|PronType=Dem",det,0.0,σώματος,(),False,xxx͂,False,False,False,False,Gen,"Masc,Neut",Sing,,,,,Def,Dem,,,
σώματος,σώματος,σώματος,σώματος,τος,σ,-20.0,NOUN,n-s---ng-,Case=Gen|Gender=Neut|Number=Sing,nmod,0.0,ἀμυδροτέρας,"(δυναμεις, ποιότητας)",False,xx́xxxx,False,False,False,False,Gen,Neut,Sing,,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,σώματος,(),False,xxx̀,False,False,False,False,,,,,,,,,,,,
τὰς,τὰς,τὰς,τὰς,ὰς,τ,-20.0,DET,S-,Case=Acc|Definite=Def|Gender=Fem|Number=Plur|PronType=Dem,det,0.0,δυναμεις,(),False,xx̀x,False,False,False,False,Acc,Fem,Plur,,,,,Def,Dem,,,
τῆς,τῆς,τῆς,τῆς,ῆς,τ,-20.0,DET,l-s---fg-,Case=Gen|Gender=Fem|Number=Sing,det,0.0,ψυχῆς,(),False,xx͂x,False,False,False,False,Gen,Fem,Sing,,,,,,,,,
ψυχῆς,ψυχῆς,ψυχῆ,ψυχῆς,ῆς,ψ,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,nmod,0.0,δυναμεις,(),False,xxxx͂x,False,False,False,False,Gen,Fem,Sing,,,,,,,,,
δυναμεις,δυναμεις,δυναμις,δυναμεις,εις,δ,-20.0,NOUN,Nb,Case=Acc|Gender=Fem|Number=Plur,conj,0.0,σώματος,"(σώματος, ποιότητας)",False,xxxx,True,False,False,False,Acc,Fem,Plur,,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,δυναμεις,(),False,xxx̀,False,False,False,False,,,,,,,,,,,,
ποιότητας,ποιότητας,ποιότητας,ποιότητας,τας,π,-20.0,NOUN,n-p---fa-,Case=Acc|Gender=Fem|Number=Plur,conj,0.0,δυναμεις,"(σώματος, δυναμεις)",False,xxxx́xxxx,False,False,False,False,Acc,Fem,Plur,,,,,,,,,
.,.,.,.,.,.,-20.0,PUNCT,u--------,,punct,0.0,φαίνεται,(),False,.,False,True,False,False,,,,,,,,,,,,
